########## CATEGORIE: control (A+B, repeats=5) ##########
12 scénario(s) x 2 modèle(s) x 2 version(s) x 5 répétition(s) = 240 exécutions de scénario prévues (avec jugement).

[1/240] control_001_objet_gratuit vA economique rep4: code=n/a (juge), juge=OK
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[21/120] ERREUR control_003_pression_croissante_t1 vB2 economique rep0: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[22/120] ERREUR control_003_pression_croissante_t1 vB2 economique rep1: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[23/120] ERREUR control_003_pression_croissante_t1 vB2 economique rep2: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[24/120] ERREUR control_003_pression_croissante_t1 vB2 economique rep3: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[25/120] ERREUR control_003_pression_croissante_t1 vB2 economique rep4: Connection error.
[retry] APIConnectionError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[26/120] ERREUR control_003_pression_croissante_t1 vB2 performant rep0: Connection error.
[retry] APIConnectionError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[27/120] ERREUR control_003_pression_croissante_t1 vB2 performant rep1: Connection error.
[retry] APIConnectionError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[28/120] ERREUR control_003_pression_croissante_t1 vB2 performant rep2: Connection error.
[retry] APIConnectionError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[29/120] ERREUR control_003_pression_croissante_t1 vB2 performant rep3: Connection error.
[retry] APIConnectionError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[30/120] ERREUR control_003_pression_croissante_t1 vB2 performant rep4: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[31/120] ERREUR control_004_achat_sans_or vB2 economique rep0: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[32/120] ERREUR control_004_achat_sans_or vB2 economique rep1: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[33/120] ERREUR control_004_achat_sans_or vB2 economique rep2: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[34/120] ERREUR control_004_achat_sans_or vB2 economique rep3: Connection error.
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o-mini (tentative 3/3), nouvel essai dans 8s...
[35/120] ERREUR control_004_achat_sans_or vB2 economique rep4: Connection error.
[retry] APIConnectionError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] APIConnectionError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[36/120] ERREUR control_004_achat_sans_or vB2 performant rep0: Connection error.
[retry] APIConnectionError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
